 INFO  Accepting connections at http://localhost:5001
 HTTP  2/20/2026 2:07:34 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:34 PM 82.77.240.89 Returned 404 in 13 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /favicon.ico
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /favicon.ico
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:35 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:41 PM ::1 GET /
 HTTP  2/20/2026 2:07:41 PM ::1 Returned 404 in 5 ms
 HTTP  2/20/2026 2:07:44 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:44 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:44 PM 82.77.240.89 GET /favicon.ico
 HTTP  2/20/2026 2:07:44 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 GET /favicon.ico
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:45 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 Returned 404 in 2 ms
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 GET /
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 GET /favicon.ico
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 Returned 404 in 1 ms
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 GET /meta.json
 HTTP  2/20/2026 2:07:46 PM 82.77.240.89 Returned 404 in 1 ms
